Symbol,Company Name,Price Performance (52 Weeks),Total Return (1 Yr Annualized),Beta (1 Year Annualized),Standard Deviation (1 Yr Annualized)
CBNK,Capital Bancorp ,34.49262,36.53761,0.856048,0.2957
SICPQ,Silvergate Capital oration,39.39394,39.39394,0.726337,1.76632
BCOW,1895 Bancorp of Wisconsin ,50.07364,50.07364,0.252501,0.21413
RBKB,Rhinebeck Bancorp ,26.36695,26.36695,0.273386,0.21635
ALPIB,Alpine Banks of lorado,13.51648,16.69238,0.105145,0.15456
RRBI,Red River Bancshares ,7.48088,8.29304,1.013107,0.28072
SPFI,South Plains Financial ,29.41865,31.78572,1.177284,0.3312
CNBB,CNB mmunity Bancorp ,13.1398,16.32801,0.0,0.0
RMBI,Richmond Mutual Bancorporation ,9.91379,14.87576,0.208581,0.24045
FSEA,First Seacoast Bancorp ,35.88235,35.88235,0.0544,0.12771
PBFS,Pioneer Bancorp ,22.19873,22.19873,0.467339,0.20477
BOID,Bank of Idaho Holding ,63.57895,63.57895,0.0,0.0
HBT,HBT Financial ,19.16711,23.55395,1.141215,0.31757
DSBX,Dogwood State Bank RALEIGH NC,-9.70104,-9.70104,0.0,0.0
MBLU,Morris St Bancshares ,0.0,0.0,0.0,0.0
LUMB,Lumbee Guaranty Bank,9.54545,12.34385,0.0,0.0
PBNC,PB Financial ,0.0,0.0,0.0,0.0
BSBK,Bogota Financial ,9.71429,9.71429,0.013893,0.24987
LNKB,LINKBANCORP ,-2.17391,2.12522,0.705893,0.28792
EBC,Eastern Bankshares ,22.44594,25.87059,1.098441,0.32387
AFBI,Affinity Bancshares ,8.19175,16.351,0.226545,0.32707
CBTN,Citizens Bancorp Investment ,-21.12676,-18.93863,0.0,0.0
FSBC,Five Star Bancorp,24.48615,28.21267,0.879374,0.30095
BLFY,Blue Foundry Bancorp,-1.39935,-1.39935,0.986352,0.32454
PBBK,PB Bankshares ,27.61831,27.61831,0.151444,0.19939
TCBS,Texas mmunity Bancshares ,10.04127,11.21109,0.153564,0.11924
TCBC,TC Bancshares ,11.99422,12.73731,0.371822,0.22147
USCB,USCB Financial Holdings ,68.29268,70.87113,1.502298,0.44173
SSBK,Southern States Bancshares ,39.06433,40.73923,0.59752,0.30138
FINW,Finwise Bancorp,70.88734,70.88734,0.432099,0.34016
CLST,Catalyst Bancorp ,-1.01954,-1.01954,0.175139,0.11069
TCBX,Third ast Bancshares ,70.43207,70.43207,1.084756,0.36764
CFSB,CFSB Bancorp ,10.13889,10.13889,-0.182567,0.18918
NSTS,NSTS Bancorp ,19.45607,19.45607,0.103864,0.23545
HNVR,Hanover Bancorp ,47.41497,50.51626,0.588544,0.32711
ECBK,ECB Bancorp ,16.64093,16.64093,0.418825,0.23968
FSUN,FirstSun Capital Bancorp,1.35211,1.35211,0.528652,0.24479
SRBK,SR Bancorp ,25.57895,26.09573,0.339213,0.14724
CPBI,Central Plains Bancshares ,46.27451,46.27451,0.133652,0.1753
PFSB,PFS Bancorp ,18.15068,18.15068,0.221283,0.13592
NBBK,NB Bancorp ,32.13235,32.13235,0.977973,0.28183
FDSB,Fifth District Bancorp ,0.0,0.0,0.0,0.0
CBNA,Chain Bridge Bancorp ,0.0,0.0,0.0,0.0
FBLA,FB Bancorp ,0.0,0.0,0.0,0.0
NPB,Northpointe Bancshares ,0.0,0.0,0.0,0.0
