Symbol,Company Name,P/E (Price/TTM Earnings),PEG Ratio,EPS Growth (Proj This Yr vs. Last Yr),Institutional Ownership,Institutional Ownership (Last vs. Prior Qtr)
FBAK,First National Bank Alaska,11.1,0.0,0.0,0.1986,31.8658
FBIP,FNB Bancorp ,0.0,0.0,0.0,0.0,0.0
FBNC,First Bancorp/NC,22.0,0.0,18.98917,69.8864,5.3431
FBP,First Ban (Puerto Rico),10.7,0.0,0.71823,60.4466,3.043
FBPA,Farmers Bank of Appomattox (The),0.0,0.0,0.0,0.1292,0.0
FBSI,First Bancshares ,0.0,0.0,0.0,0.0,0.0
FBTT,First Bankers Trustshares ,0.0,0.0,0.0,0.0133,0.0
FCAP,First Capital ,10.7,0.0,0.0,14.9012,15.3485
FCBC,First mmunity Bancshares ,13.7,0.0,-8.21429,36.0305,1.2625
FCCO,First mmunity ,12.5,0.0,20.44199,58.1241,3.5474
FCF,First mmonwealth Financial .,11.2,0.0,0.5036,74.7381,0.1192
CIVB,Civista Bancshares ,9.9,0.0,16.86567,54.5003,4.3059
FDBC,Fidelity D & D Bancorp ,11.8,0.0,0.0,0.0,7.2067
FDVA,Freedom Financial Holdings ,15.5,0.0,0.0,0.0,0.0
FFBC,First Financial Bancorp.,10.5,0.0,8.83333,80.5511,2.0858
FFIC,Flushing Financial ,0.0,0.0,-23.79747,70.5528,27.971
FFIN,First Financial Bankshares ,22.9,0.0,12.82051,70.3101,0.3132
FGFH,Foresight Financial Group ,0.0,0.0,0.0,3.9432,0.0
FGBI,First Guaranty Bancshares ,9.5,0.0,9.87654,7.8655,18.3632
FHN,First Horizon ,14.4,1.3031,9.54839,84.7009,4.9647
FISI,Financial Institutions ,0.0,0.0,-29.87288,76.8243,27.2704
INBK,First Internet Bancorp,9.4,0.0,43.26389,73.8084,2.6244
FIZN,First Citizens Bancshares ,0.0,0.0,0.0,0.0,-100.0
FLIC,First of Long Island  (The),16.4,0.0,66.13333,57.1811,6.1945
FMAO,Farmers & Merchants Bancorp ,12.6,0.0,-2.63158,0.0,3.554
FMBH,First Mid Bancshares ,10.6,0.0,7.15134,43.9782,2.4473
FMBL,Farmers & Merchants Bank/CA,0.0,0.0,0.0,5.779,0.1138
FMBM,F & M Bank ,9.1,0.0,0.0,3.7962,0.0
FMCB,Farmers & Merchants Bancorp,8.3,0.0,0.0,0.5673,27.2844
FMNB,Farmers National Banc /OH,10.8,0.0,12.10938,40.0669,4.527
FMOO,F & M Bancorp (Ohio),0.0,0.0,0.0,0.0,0.0
FNB,F.N.B. ,10.7,0.0,1.36691,80.6394,2.5495
FNLC,First Bancorp /ME (The),10.3,0.0,0.0,42.4632,1.3521
FNRN,First Northern mmunity Bancorp,0.0,0.0,0.0,5.5354,0.0
