Symbol,Company Name,P/E (Price/TTM Earnings),PEG Ratio,EPS Growth (Proj This Yr vs. Last Yr),Institutional Ownership,Institutional Ownership (Last vs. Prior Qtr)
BPRN,Princeton Bancorp ,19.9,0.0,21.80147,44.5866,2.9709
MSBI,Midland States Bancorp ,0.0,0.0,0.0,62.8638,2.334
SLBK,Skyline Bankshares ,0.0,0.0,0.0,0.0,0.0
FHB,First Hawaiian ,13.8,0.0,8.82682,99.2485,0.4555
FBK,FB Financial ,18.9,0.0,6.61765,66.0815,1.8126
MCBI,Mountain mmerce Bancorp ,0.0,0.0,0.0,10.8862,4.7994
VBNK,VersaBank,7.9,0.0,10.40268,33.3551,103.8757
ESQ,Esquire Financial Holdings ,14.4,0.0,7.45136,59.5118,5.2877
BY,Byline Bancorp ,9.8,0.0,-5.92727,44.838,4.1673
FFBW,FFBW ,0.0,0.0,0.0,0.0,0.0
RBB,RBB Bancorp,11.3,0.0,10.13605,47.9021,4.1333
COSO,astalSouth Bancshares ,0.0,0.0,0.0,3.8069,-6.4442
PPBB,Peoples Bancorp,0.0,0.0,0.0,0.0,0.0
PDLB,Ponce Financial Group ,27.9,0.0,-15.21739,47.9999,1.9606
MCB,Metropolitan Bank Holding ,9.5,0.0,10.79258,81.7185,2.6242
STEL,Stellar Bancorp ,12.9,0.0,-16.13636,57.5835,4.2928
MRBK,Meridian ,9.9,0.0,44.53782,59.1956,7.7857
CLBK,lumbia Financial ,0.0,0.0,0.0,12.7204,2.5207
SSBP,SSB Bancorp ,0.0,0.0,0.0,0.0,0.0
BWB,Bridgewater Bancshares ,13.6,0.0,28.43137,54.0303,10.6204
BFST,Business First Bancshares ,10.9,0.0,7.83133,46.3033,9.1815
OBK,Origin Bancorp ,14.0,0.0,24.32653,59.2555,4.4236
AMAL,Amalgamated Financial ,8.4,0.0,1.98276,59.5124,5.2262
MYFW,First Western Financial ,22.9,0.0,61.72414,60.2524,5.6226
CCB,astal Financial ,27.6,0.0,47.26154,74.1619,21.1088
CNBN,CNB Bank Shares ,0.0,0.0,0.0,0.0,0.0
AMTB,Amerant Bancorp ,0.0,0.0,41.56028,64.5214,8.9141
BSVN,Bank7 ,8.1,0.0,-15.55785,33.3032,48.102
CBNK,Capital Bancorp ,13.4,0.0,18.57143,35.8285,12.7373
SICPQ,Silvergate Capital oration,0.0,0.0,0.0,0.0004,0.0
BCOW,1895 Bancorp of Wisconsin ,0.0,0.0,0.0,31.7651,1.0765
RBKB,Rhinebeck Bancorp ,0.0,0.0,0.0,15.7821,5.0899
ALPIB,Alpine Banks of lorado,0.0,0.0,0.0,5.7605,-0.4214
RRBI,Red River Bancshares ,10.6,0.0,8.38384,24.429,3.199
SPFI,South Plains Financial ,11.3,0.0,-0.68493,38.2588,4.251
CNBB,CNB mmunity Bancorp ,0.0,0.0,0.0,3.0414,0.0
RMBI,Richmond Mutual Bancorporation ,13.8,0.0,0.0,22.2755,8.3748
FSEA,First Seacoast Bancorp ,0.0,0.0,0.0,25.0546,0.2622
PBFS,Pioneer Bancorp ,15.7,0.0,0.0,24.2191,-2.064
BOID,Bank of Idaho Holding ,0.0,0.0,0.0,0.0,0.0
HBT,HBT Financial ,9.9,0.0,2.61062,23.4386,1.2291
DSBX,Dogwood State Bank RALEIGH NC,0.0,0.0,0.0,0.8437,27.1657
MBLU,Morris St Bancshares ,0.0,0.0,0.0,0.0472,0.0
LUMB,Lumbee Guaranty Bank,0.0,0.0,0.0,0.0,0.0
PBNC,PB Financial ,0.0,0.0,0.0,0.0,0.0
BSBK,Bogota Financial ,0.0,0.0,0.0,7.8615,0.8828
LNKB,LINKBANCORP ,10.1,0.0,19.01408,0.0,6.0857
EBC,Eastern Bankshares ,25.0,0.0,40.37736,68.9653,3.5542
AFBI,Affinity Bancshares ,21.7,0.0,0.0,26.5967,17.567
CBTN,Citizens Bancorp Investment ,0.0,0.0,0.0,0.0,0.0
FSBC,Five Star Bancorp,12.3,0.0,15.9292,54.775,-0.3443
BLFY,Blue Foundry Bancorp,0.0,0.0,5.45455,51.268,-0.3993
PBBK,PB Bankshares ,21.2,0.0,0.0,11.5119,39.6986
TCBS,Texas mmunity Bancshares ,0.0,0.0,0.0,8.863,4.9009
TCBC,TC Bancshares ,0.0,0.0,0.0,2.174,-2.149
USCB,USCB Financial Holdings ,14.9,0.0,26.6129,62.8726,2.9168
SSBK,Southern States Bancshares ,9.9,0.0,4.05759,54.221,5.5569
FINW,Finwise Bancorp,18.3,0.0,20.75269,26.1107,4.7132
CLST,Catalyst Bancorp ,0.0,0.0,0.0,26.3797,23.5324
TCBX,Third ast Bancshares ,11.7,0.0,11.51079,51.8742,13.8614
CFSB,CFSB Bancorp ,0.0,0.0,0.0,1.4227,-14.6184
NSTS,NSTS Bancorp ,0.0,0.0,0.0,21.5119,9.2335
HNVR,Hanover Bancorp ,13.4,0.0,40.06024,21.1678,35.3417
ECBK,ECB Bancorp ,32.1,0.0,0.0,23.4708,0.0859
FSUN,FirstSun Capital Bancorp,13.6,0.0,13.00319,0.0,23.2704
SRBK,SR Bancorp ,241.8,0.0,0.0,24.1751,9.353
CPBI,Central Plains Bancshares ,14.8,0.0,0.0,24.0654,27.3708
PFSB,PFS Bancorp ,0.0,0.0,0.0,0.0,0.0
NBBK,NB Bancorp ,16.8,0.0,29.90654,43.2564,-3.7459
FDSB,Fifth District Bancorp ,0.0,0.0,0.0,20.9126,11.7661
CBNA,Chain Bridge Bancorp ,7.2,0.0,-41.48681,45.1694,100.0
FBLA,FB Bancorp ,0.0,0.0,0.0,18.2621,100.0
NPB,Northpointe Bancshares ,0.0,0.0,0.0,0.0,0.0
